Model,Accuracy,Precision,Recall,F1
BERT,88.04236419542192,87.2140300502173,88.04236419542192,87.58906799779379
DistilBERT,96.99350871199181,81.28781378734794,88.62316364878716,84.76316592348488
TinyBERT,58.28493337888623,58.167982207764105,49.914588315681584,43.36060190374656
DeBERTa,45.40485138366929,13.729618622224237,37.03450632046464,20.032637151389054
