content,is_english
"""Foddi is a reliable and user-friendly service with quality products and smooth customer experience. Highly recommended for anyone looking for efficiency and value""",True
best,True
very good,True
"100% recommendable. till now this is my 27th restaurant Order... every delivery man is friendly & i got my food within short time with warm & fresh, no damages issue",True
good service💖,True
Best,True
Very good,True
Nice,True
good,True
good,True
"Good timing, good deal, Foodi is the best with any food delivery company.",True
good,True
good,True
nice work 😀,True
good 😊 best,True
Good,True
good,True
quite simple to order in this app,True
Excellent Experience,True
good,True
very nice service,True
It's so good for the dalivary service,True
Just Awesome,True
Best,True
Good service 😍 satisfied,True
best,True
Nice,True
good,True
Good service,True
they're very good!,True
good,True
Deliver quality food with reasonable prices in the fastest time.,True
there service is much affordable compare to another food delivery service.,True
excellent,True
vary good,True
Honestly.. I have been ordering food from this app for a long time and have never had any problems with the food. I get food very first. I had a good experience with this app.,True
vary good,True
good,True
Awesome,True
too good 💥,True
"Good, yummy",True
good,True
Very fast Delivery... good platform..,True
best food Delivery service in Bangladesh foodi delivery time fast,True
all food so fast delivery,True
"I received the delivery on time, the service was good. I am satisfied with the service."" ""The delivery was very fast and the behavior was polite, thank you."" ""The food was delivered on time, the service was good.",True
"Good service, Fast delivery, Reasonable price and Far better than others food delivery company.",True
good service,True
nice,True
best deal and fast delivery for food,True
Best Flatparam as Food Delivery 🤩,True
Fast delivery ☺😘,True
Very Good,True
nice and helpful,True
EXCELLENT APP SUPER FAST DELIVERY AND GOOD PRICE,True
very fast and secure service... 👏,True
"Good Service. Super Fast Delivery ,",True
very nice,True
this is Amazing App for Order food! Thank you Foodi!,True
Good Service,True
Best food delivery apps. Just order and smile. 🙂,True
good option,True
best,True
Five Star,True
good,True
fast and user friendly,True
oh my God,True
"Foodie is fast, reliable, and user-friendly. The food always arrives hot and on time, with clear tracking, excellent customer support, and polite delivery riders. Truly the best food delivery app in Bangladesh.",True
best,True
all raider so fast delivery,True
awesome,True
very helpful,True
excellent,True
Yummy,True
good,True
first delivery food,True
Amazing food delevery app.... How many time i ordered here never declined and got delevery very fast,True
nice 👍,True
Super fast delivery Love it..,True
Its a very good & useful app,True
very good service,True
very good service. pleased with the behaviour.,True
it's a very user friendly app. the foods are always at a discount price,True
Foodi is the best and most amazing food delivery system in Bangladesh.,True
very good service,True
Good,True
nice,True
good service 🔥🔥,True
nice,True
Excellent service,True
Best Food Delivery Platform,True
"Really smooth experience! The app is fast, easy to use, the food always arrives on time and customer support is responsive. Highly recommend",True
Awesome and fast service.,True
fast and easy,True
fast delivery 🥰,True
best,True
"I had high hopes from this platform. But I have to give two stars. The app is buggy, they turned off the review system, how would I order if I can't see the review section. And then they are increasing delivery fee time to time, along with additional costs as well. Expected it to be different and better than Foodpanda. But got disappointed",True
great experience,True
Good Experience Best Rider,True
Best Food Delivery Service app in the Town.,True
over all good,True
Why not deliver in my area Ranabhola... what is the problem.... the roads are fine right now.... can you available delivery in my area now ?!!!,True
we ordered a birthday cake from foodie for my friend. They literally damaged it upon delivery and then made us wait for 2 hours... and during this time all they did was saying sorry... also they made the delivery man call us constantly and the delivery man told us that he will bkash us 200 taka as if we were begging for money....where we already have paid the total 1019 taka in advance. And the irony is it took them 2 freaking hours to decide that they will give us redelivery...,True
Best Platform for online food delivery,True
