content
Worst experience?
"Sorry to say highly disappointed about their working process. Needs to be update more.Though food quality is good,no one taste before order. Service quality is very poor,connection is also not helpful."
thats good
worst service (sylhet)
"worst app, it should not be on app store"
"Worst app ever, In the app, it showed that the delivery charge was free, but they called me and said the delivery charge would be 80 Tk. Why should I pay twice? If you can’t calculate the delivery charge correctly in the app, why did you even add that feature?"
"২৫৩৮ টাকার অর্ডার করেছি এপ থেকে।উত্তরা ব্রাঞ্চ থেকে ডেলিভারি দিয়েছে। এতবার করে ফোন করে বলার পরেও সালাদ দেয়নি। রাস্তার পাশের দোকানেও লেবু, পিয়াজ, কাচামরিচ দেয়।কাচ্চির মাংস রাবারের মতো শক্ত ছিলো। চাটনি ২০ টাকায় ১ চা চামচ দিয়েছে। রাইসের এমাউন্ট কম। বোরহানি ২৫০ মিলি ৬ টা আলাদা দিয়েছি। সবগুলা একসাথে বড় বোতলে দিয়েছে। বাল মার্কা সার্ভিস। আর জীবনেও অর্ডার করবো না।"
very bad
Nothing is available except kacchi.
Deserves 0 stars. App doesn't function properly at all. It took 3 hours to order properly
Some Items can't be added to the cart even after trying for a long time! Sukcs
Just dine at their branch. trust me it'll be way faster 😂
জগন্য...
poor
Delivery charge hidden thake. Delivery korar somoy bole dey. Order place korar shate shate bolle e hoye jay. And onk late kore food delevery kore. Otherwise food bhalo.
"super slow, delay delivery, high delivery charge"
very bad apps😡😡😡😡
"I ordered 16 items from their Gulshan branch via app for my Mohakhali address. They don’t accept orders before 12 PM. Confirmation was delayed, the rider left over an hour late, packaging was terrible, and calls went unanswered. Promised delivery times were completely missed. Fancy app, awful service — feels like they were testing my patience instead of delivering my food."
faltu app
"scamer, they did not add delivery cost, then they charge extra money."
trash app
it is contiuously shown that something was wrong. try later
faltu ... 2hour par hoye jai delivery er kono nam nai
food delivery system was nice
একেবারে ফালতু অ্যাপ ইন্সটল করার পরে কোন কাজ করে না। শুধু শুধু টাইম নষ্ট।
"This 1 stars are for the local branch for calling and confirming the delay so that I was able to cancel the order. Worst experience ever. The app is barely alive. The customer support is worse, they didn't even ask my order id, just asked me if I got some kind of code starting with 3 or 9 whatever in my mail or not. I didn't even enter my mail address in the app. Develop a better app or just take it down."
Doesn't work well.
worst customer service ever.
This is a very bad situation. They kept having problems with my order. This is very stupid.👎👎
wow🤩
Who built this app? Terrible ux.
not opening
Such a bad app. Can't even view placed orders/past orders.
"very bad, sylhet branch a order diye abar call diye confirm korte hoy, tao maje modde call diye o pawa jayna."
"ঘোড়ার ডিম এপ বানাইছে। অর্ডার দিলে খবর থাকে না, নিজে ফোন দিলে একটু পর অর্ডার ক্যানসেল করে দেয়। ১২ টায় অর্ডার দিয়েছি লাঞ্চ, বলে ৪ টায় আসবে, মানে জোক করে নাকি?"
App not working on s25 ultra. app just crashing
worst app & services
app not opening on Android 15
App crashing on S24 ultra
"Useless app, 3rd quality app developer. In pre order, if you select 1 pm. it means, order will place at 1pm. But it's not clear in app. First experience is worst."
not working
doesn't even open
এক ঘন্টা লাগো ওটিপি পাঠাতে
Apps crashes every time when I try to open it
Out of delivery zone moghbazar modhubag why?
Good service.
Useless app
Horrible customer service
App not opening. Please kindly fix the bug
Basmati mutton kacchi order korechilam. Khabar ta moja chilo kintu dam onujaiyi poriman onek beshi kom. Salad deya hoini alada Kore bolar poreo. Mangsher piece gulao haddi. Totally disappointed.
Faul Call dile call recive korena
Very ridiculous app. It doesn't open & crash every time
"The last order experience is very, very bad. Very bad condition of app, as like as delivery service of sultan dine. Waste of time, waste of money. No class condition."
The application is not launching and instead is unexpectedly closing. Despite the fact that I am using the most recent Samsung S24.
App stopped. Unable to start
