content,is_english
like to eat there but I can't buy,True
"KFC in Bangladesh is totally disgusting, their chicken 🐔 not Halal. Because whatever cut without the name of Allah, it's Haram. So think twice before you eat Haram.",True
Very good.,True
Good,True
Some of the functionalities are not working. Had to write my address more than 5 times before magically it worked.,True
Nice app! Should integrate live order tracking system by Map.,True
ok,True
They didn't our area 😭🥲😭🥲🥲,True
This app is ok ok type for me and my family,True
Totally garbage. How can a international company have this type of poor functioning app?,True
Bad customer service,True
Good,True
No Login Option ⚠️ Problem after problem problem after problem only problem and problem full of problem very very problem.,True
"Their outlet is only 300meters away from where I live,still Delivery charge 70Tk! Is it nonsense?",True
Sign up problem,True
Unprofessional,True
Very bad. There is not even a chance to contact them.,True
Nice application,True
Garbage App. A restaurant with such heavy traffic and still using some sort of webpage like app. Super poor service also. Constantly getting the address wrong despite calling and confirming every order and address. How does that even happen. Fastest I've ever received food is 45 mins. Poorly trained staff and garbage app,True
One Of The Worst App Ever .Too Much Over Price & Bad Quality Experience.Avoid This .👎🏻👎🏻👎🏻,True
Without payment order from app is not accepted from store. Why they built app God knows! From store staffs take huge time to deliver without any reason.,True
Worst service ever!,True
"It is not appropriate to compare the taste of food from one country to another, such as the United Arab Emirates and Saudi Arabia.",True
WORST APP WHY DONT THEY TAKE DELIVERY ON DHAKA UNIVERSITY AREA? 0/10 😡🤬,True
"Just a stupid🤡 app to download. If u wanna delivery at any area, they say,""Oops, we can't deliver at this area. Please takeaway."" So why u delivered the app at PlayStore. Are u mad or joker 🤡. Let it be. I recommend u all not to download❌ the kfc app❌❌ if u wanna delivery at ur home. Please 😈",True
Why can't I find any login option? If I change my phone it asks to create an account with different numbers.,True
How to sign in? Default behavior is sign up I had.,True
"No option to Login, Voucher doesn't work. One of the Worst worst app ever",True
Tatka guuu(🍔) Waste of money. So yuck... disgusting 🤮.KFC is just a name,True
Only take away always so what's the point of the app No delivery,True
Disappointing,True
Very good service,True
There's no login option if you already had an account. Never saw such an awful app.,True
I can't log in your app. Pls help me in this regard.,True
Super slow delivery. 3rd Class service.,True
good.,True
most shittiest food ordering app ever! can't even login! what's the point of making an app if you can't use it,True
"No option for Sign In, only create account.",True
No option to login 😕,True
"I already have account, it has no login option",True
"After so many attempts, I still can't sign up so Deleted the app such waste of time.",True
What a garbage app. Can't place order at all.,True
Very bad. No delivery for dohs. No free food.,True
"KFC in Bangladesh is a joke. The broiler chickens that are available in this corrupted country are harmful and not at all tasty. I respect the decision of McDonalds, they rejected this country because they wanted to bring their own chicken because they know in the name of halal things, the fool religious blind people only make things harmful just like broiler chickens of this country. Please go away from this pathetic country. Don't spoil your brand name.",True
worst experience ever,True
could you please make a dine in order option in the app?,True
Your service so poor.,True
Very system online system Delivery is very late 😡😡😡😡😡,True
"In Dhaka Uttara sector 13 branch , Food is ok but their service so bad, Stuffs are thief, Maximum time they provide less chicken, after few time when we complain they said sorry and Give, I am a regular costumer but I saw they doing this type of things again and again,",True
Good food,True
"From 2022 i'm ordering food from my home which is situated at Bauniyabaad(Mirpur11). Today at 18th july 2024 they told me that, they did not deliver food to Bauniyabaad area😂😂 Shame On You KFC. Shame...",True
"Such a disgusting app and service Cant change payment after order Order is in pending hour after hour Both in web and app When knocking for support, they dont seem to care much.. They want to know which branch I have ordered.. There was no mention for any branch while ordering Even no quick support number in their Contact Us page Stupid overhyped service in the mask of world class brand Even a local food court provides better professionalism than them",True
"It says that you are going to get 2 chicken fries for free upon using a voucher on first order for orders over 500 taka. So I placed my first oder applying the voucher. However, I did not receive my free chickens. Called kfc only to be informed that they did not receive the voucher from their end and therefore, I will be able to use the same voucher again for my next order. Only to get the message that the voucher has been already used when I tried to place another order. Uninstalling.",True
Whenever I eat KFC 🍗 l feel like heavenly 😌 but some days ago l order so many foods and l payed the full money for every item .in the order there was a 6 piece chicken wings but KFC didn't give me the chicken wings. First time l am very disappointed with KFC😞😒,True
Had to call them to cancel after waiting for a delivery for 3 hours.,True
Best friend chicken I have ever eat,True
V good,True
The best fried chicken I ever tried in my life,True
Very bad food and very bad services 😕,True
Wonderful,True
"One of THE WORST app I've ever used to order something. Let's skip all the stuff related to fixing address and all but when it comes to delivering, it is literally the worst. I ordered at 8 pm today. By 8:15, I received a call from them, saying that they cannot send their own riders to my location (which is very close to their shop) for unknown reasons, and will be delivering through foodpanda and said it'll take approx an hour. I'm now writing this review at 11 pm, and still no food 🙂",True
Never ever gonna support KFC cause they supports Genocide.,True
"They made Stupid app, where I put my data for signup & they show provide valid data. worst!",True
Tried for a 1st time and poor service towards delivery and customer service. Too late and worst service,True
"anytime I use the option to pre order my food for a specific time, it never seems to arrive at the correct time !!",True
Horrible experience Very high delivery charge Waiting too long Very bad,True
fix your location problem! cant order food.,True
Simply Awesome.,True
"I'll have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda.",True
Nice,True
"This app is not good,they said they cannot deliver in my area.Do not install",True
"don't buy food they fry chicken bad , I found blood on leg piece don't recommend also bad app and yeah free Palestine",True
"Worst experience ever. I have ordered 2 hours earlier, still don't get my food.",True
Staffs need to be more professional,True
Bad food,True
They used pandaGo to deliver the food and the delivery man took one and a half hour to deliver my food. Other than that the app is alright. Get your on delivery system.,True
