Model,Accuracy,Precision,Recall,F1
BERT,93.0538172715895,100.0,93.0538172715895,96.40194489465154
DistilBERT,97.87234042553192,100.0,97.87234042553192,98.9247311827957
TinyBERT,62.515644555694614,100.0,62.515644555694614,76.93492491336157
ALBERT,98.3729662077597,100.0,98.3729662077597,99.17981072555206
